,name,did_not_play,date,team,opponent,home_away,game_start,seconds_played,field_goal_pct,field_goal_attempt,field_goal_made,threePT_made,threePT_attempt,threePT_pct,free_throws_made,free_throws_attempt,free_throws_pct,orb,drb,trb,assists,steals,blocks,turnovers,points,game_score,plus_minus
269,Bam Adebayo,0,2017-12-06,MIA,SAS,1,0,1065,0.75,4,3,0,0,,0,0,,2,1,3,0,1,2,2,6,5.7,-12
270,Bam Adebayo,0,2017-12-09,MIA,BRK,1,0,1196,0.333,3,1,0,0,,0,0,,2,3,5,2,0,1,0,2,3.5,20
271,Bam Adebayo,0,2017-12-11,MIA,MEM,1,0,1375,0.833,6,5,0,0,,4,5,0.8,0,4,4,2,2,2,0,14,15.4,10
272,Bam Adebayo,0,2017-12-13,MIA,POR,0,0,1816,1,3,3,0,0,,6,8,0.75,3,4,7,2,0,0,3,12,10.8,-10
273,Bam Adebayo,0,2017-12-15,MIA,CHO,1,0,1307,0.833,6,5,0,0,,1,1,1,1,4,5,1,0,0,2,11,7.8,0
274,Bam Adebayo,0,2017-12-16,MIA,LAC,0,0,1694,0.286,7,2,0,0,,3,4,0.75,4,1,5,3,0,0,0,7,6.5,-5
275,Bam Adebayo,0,2017-12-18,MIA,ATL,1,1,1828,0.5,6,3,0,0,,5,7,0.714,4,6,10,1,1,2,3,11,10.3,-1
276,Bam Adebayo,0,2017-12-20,MIA,BOS,1,1,1228,0.5,6,3,0,0,,0,1,0,0,5,5,0,0,0,1,6,2.7,5
277,Bam Adebayo,0,2017-12-22,MIA,DAL,0,1,2249,0.667,9,6,0,0,,2,2,1,1,7,8,5,1,0,1,14,15.2,28
278,Bam Adebayo,0,2017-12-23,MIA,NOP,0,1,1820,0.571,7,4,0,1,0,1,2,0.5,3,4,7,4,0,1,1,9,10.3,-17
279,Bam Adebayo,0,2017-12-26,MIA,ORL,0,0,1528,0.75,4,3,0,0,,2,2,1,3,6,9,4,1,1,1,8,13,24
280,Bam Adebayo,0,2017-12-29,MIA,BRK,0,0,1666,0.4,5,2,0,0,,3,5,0.6,2,3,5,1,1,0,2,7,4.7,-21
281,Bam Adebayo,0,2017-12-30,MIA,ORL,1,0,952,0.6,5,3,0,0,,0,0,,1,2,3,0,0,0,1,6,2.4,-7
282,Bam Adebayo,0,2018-01-03,MIA,DET,0,0,614,0,4,0,0,0,,0,0,,1,2,3,1,0,0,1,0,-1.8,-5
283,Bam Adebayo,0,2018-01-05,MIA,NYK,0,0,893,,0,0,0,0,,2,2,1,1,6,7,2,0,0,1,2,4.9,-5
284,Bam Adebayo,0,2018-01-07,MIA,UTA,0,0,438,1,1,1,0,0,,2,3,0.667,1,1,2,0,0,0,1,4,2.9,-2
285,Bam Adebayo,0,2018-01-09,MIA,TOR,1,0,1953,0.571,14,8,0,1,0,0,0,,5,10,15,3,0,5,0,16,20.3,9
286,Bam Adebayo,0,2018-01-10,MIA,IND,1,0,1871,0.444,9,4,0,1,0,7,9,0.778,0,2,2,5,1,0,1,15,12.8,-9
287,Bam Adebayo,0,2018-01-14,MIA,MIL,0,0,1671,0.333,6,2,0,0,,2,2,1,0,4,4,6,0,0,1,6,5.4,10
288,Bam Adebayo,0,2018-01-15,MIA,CHI,1,0,1124,0.4,5,2,0,1,0,2,2,1,2,3,5,0,1,0,1,6,5.2,10
289,Bam Adebayo,0,2018-01-17,MIA,MIL,1,0,1129,0.333,6,2,0,0,,0,0,,3,3,6,5,1,0,2,4,4.5,-2
290,Bam Adebayo,0,2018-01-19,MIA,BRK,1,0,858,0.6,5,3,0,0,,3,4,0.75,1,2,3,2,0,0,1,9,6.8,0
291,Bam Adebayo,0,2018-01-20,MIA,CHO,1,0,1413,0.75,4,3,0,0,,0,0,,2,3,5,5,2,1,1,6,11.5,8
292,Bam Adebayo,0,2018-01-22,MIA,HOU,1,0,1038,0.75,4,3,0,0,,1,2,0.5,1,4,5,2,0,0,0,7,7.9,-1
293,Bam Adebayo,0,2018-01-25,MIA,SAC,0,0,1233,0.5,4,2,0,0,,2,2,1,0,1,1,2,1,1,0,6,6.2,10
294,Bam Adebayo,0,2018-01-27,MIA,CHO,0,0,1538,0.667,6,4,0,0,,0,0,,2,10,12,0,1,1,1,8,10.1,13
295,Bam Adebayo,0,2018-01-29,MIA,DAL,1,0,1148,0.333,3,1,0,0,,0,0,,2,3,5,4,1,1,2,2,4.7,0
296,Bam Adebayo,0,2018-01-31,MIA,CLE,1,0,1114,0.6,5,3,0,0,,3,5,0.6,1,4,5,1,0,0,3,9,5.5,-2
297,Bam Adebayo,0,2018-02-02,MIA,PHI,1,0,1751,0.556,9,5,0,0,,5,10,0.5,5,8,13,6,0,0,0,15,17.2,9
298,Bam Adebayo,0,2018-02-03,MIA,DET,1,1,1417,0.4,5,2,0,0,,0,2,0,1,4,5,0,0,1,0,4,2.3,-11
299,Bam Adebayo,0,2018-02-05,MIA,ORL,0,0,1576,0.462,13,6,0,2,0,6,8,0.75,2,8,10,1,1,2,0,18,16.6,-7
300,Bam Adebayo,0,2018-02-07,MIA,HOU,0,0,902,1,2,2,0,0,,1,1,1,2,3,5,2,0,2,1,5,7.7,-11
301,Bam Adebayo,0,2018-02-09,MIA,MIL,0,0,1942,0.429,7,3,0,0,,9,10,0.9,1,9,10,3,0,2,2,15,14.2,-4
302,Bam Adebayo,0,2018-02-13,MIA,TOR,1,0,1510,0.5,6,3,0,0,,5,5,1,1,4,5,3,0,1,2,11,9.5,7
303,Bam Adebayo,0,2018-02-14,MIA,PHI,1,0,1162,0,3,0,0,0,,3,4,0.75,0,2,2,1,0,0,0,3,1.8,-12
304,Bam Adebayo,0,2018-02-23,MIA,NOP,1,0,1137,1,2,2,0,0,,2,4,0.5,0,8,8,2,0,0,1,6,5.8,2
305,Bam Adebayo,0,2018-02-24,MIA,MEM,0,0,1099,0.714,7,5,0,0,,3,4,0.75,2,5,7,1,1,0,0,13,13.9,24
306,Bam Adebayo,0,2018-02-27,MIA,PHI,0,0,412,0,2,0,0,0,,1,2,0.5,1,3,4,0,0,2,1,1,1.2,-17
307,Bam Adebayo,0,2018-03-01,MIA,LAL,0,0,1771,0.857,7,6,0,0,,3,4,0.75,4,6,10,1,0,2,1,15,17.4,5
308,Bam Adebayo,1,2018-03-03,MIA,DET,0,,,,,,,,,,,,,,,,,,,,,
309,Bam Adebayo,0,2018-03-05,MIA,PHO,0,0,278,,0,0,0,0,,2,2,1,0,1,1,0,0,0,0,2,2.3,-6
310,Bam Adebayo,0,2018-03-06,MIA,WAS,1,0,227,0,1,0,0,0,,0,0,,0,2,2,0,0,0,0,0,-0.1,-1
311,Bam Adebayo,0,2018-03-08,MIA,PHI,0,0,815,0.2,5,1,0,1,0,0,0,,1,3,4,0,0,0,0,2,-0.3,9
312,Bam Adebayo,0,2018-03-10,MIA,WAS,0,1,1062,0.6,5,3,0,0,,0,2,0,2,6,8,1,0,0,2,6,3.2,19
313,Bam Adebayo,0,2018-03-12,MIA,POR,1,1,1480,0.1,10,1,0,0,,2,2,1,4,5,9,3,1,1,3,4,0.9,-8
314,Bam Adebayo,0,2018-03-14,MIA,SAC,1,1,1640,0.222,9,2,0,0,,2,2,1,4,12,16,3,0,0,0,6,7.8,-9
315,Bam Adebayo,0,2018-03-16,MIA,LAL,1,1,2084,0.5,10,5,0,0,,1,3,0.333,5,3,8,2,0,0,0,11,9.8,0
316,Bam Adebayo,0,2018-03-19,MIA,DEN,0,1,1620,0.333,9,3,0,0,,1,6,0.167,4,4,8,3,0,0,2,7,3.2,-17
317,Bam Adebayo,0,2018-03-21,MIA,NYK,0,1,797,0.75,4,3,0,0,,0,0,,1,1,2,0,0,0,1,6,3.6,-8
318,Bam Adebayo,0,2018-03-23,MIA,OKC,1,1,1246,0,5,0,0,0,,0,0,,2,5,7,1,0,0,1,0,-1.3,-6
319,Bam Adebayo,0,2018-03-25,MIA,IND,1,1,1255,0.714,7,5,0,0,,4,4,1,2,3,5,0,0,1,3,14,9.1,-2
320,Bam Adebayo,1,2018-03-27,MIA,CLE,0,,,,,,,,,,,,,,,,,,,,,
321,Bam Adebayo,0,2018-03-29,MIA,CHI,0,0,692,0.5,2,1,0,0,,1,2,0.5,0,0,0,0,0,0,0,3,1.2,10
322,Bam Adebayo,1,2018-03-31,MIA,BRK,0,,,,,,,,,,,,,,,,,,,,,
323,Bam Adebayo,1,2018-04-03,MIA,ATL,0,,,,,,,,,,,,,,,,,,,,,
324,Bam Adebayo,0,2018-04-04,MIA,ATL,1,0,1186,0.167,6,1,0,0,,2,2,1,2,8,10,2,3,1,3,4,5.7,26
325,Bam Adebayo,0,2018-04-06,MIA,NYK,1,0,743,0.5,4,2,0,0,,0,0,,1,3,4,0,0,0,2,4,1.2,-2
326,Bam Adebayo,0,2018-04-09,MIA,OKC,0,0,801,0.333,3,1,0,0,,4,4,1,1,3,4,0,0,0,0,6,5.5,0
327,Bam Adebayo,0,2018-04-11,MIA,TOR,0,0,1097,1,4,4,0,0,,2,2,1,2,2,4,1,0,1,0,10,11.8,16
328,Arron Afflalo,1,2017-10-18,ORL,MIA,0,,,,,,,,,,,,,,,,,,,,,
329,Arron Afflalo,0,2017-10-20,ORL,BRK,1,0,895,0,3,0,0,2,0,2,3,0.667,0,2,2,3,0,1,0,2,2.5,-3
330,Arron Afflalo,0,2017-10-21,ORL,CLE,1,0,318,,0,0,0,0,,2,2,1,0,0,0,0,0,0,0,2,1.6,-4
331,Arron Afflalo,1,2017-10-24,ORL,BRK,0,,,,,,,,,,,,,,,,,,,,,
332,Arron Afflalo,0,2017-10-27,ORL,SAS,0,0,370,0,2,0,0,0,,0,0,,0,0,0,0,0,0,0,0,-1.8,-5
